Player,Last Name,Position,Team,Pick,Round
J.K.,Dobbins,RB,BAL,47,6
Damien,Harris,RB,NE,56,7
Travis,Etienne,RB,JAX,58,7
Clyde,Edwards-Helaire,RB,KC,59,7
Cam,Akers,RB,LAR,62,7
AJ,Dillon,RB,GB,75,8
Rashaad,Penny,RB,SEA,76,9
Miles,Sanders,RB,PHI,83,9
Cordarrelle,Patterson,RB,ATL,87,10
Kareem,Hunt,RB,CLE,92,10
Tony,Pollard,RB,DAL,94,10
Breece,Hall,RB,NYJ,98,11
Michael,Carter,RB,NYJ,102,11
Devin,Singletary,RB,BUF,103,11
Melvin,Gordon,RB,DEN,106,11
James,Robinson,RB,JAX,108,11
Chase,Edmonds,RB,MIA,117,13
Darrell,Henderson,RB,LAR,124,13
Alexander,Mattison,RB,MIN,130,14
Raheem,Mostert,RB,MIA,134,14
Ronald,Jones,RB,KC,135,14
Kenneth,Walker III,RB,SEA,146,14
Chris,Carson,RB,,150,15
Mark,Ingram,RB,NO,155,15
Marlon,Mack,RB,HOU,156,15
Chuba,Hubbard,RB,CAR,161,15
Myles,Gaskin,RB,MIA,169,15
Rhamondre,Stevenson,RB,NE,170,15
James,Cook,RB,BUF,174,15
Jerick,McKinnon,RB,KC,179,15
J.D.,McKissic,RB,WAS,183,15
Jamaal,Williams,RB,DET,186,15
Nyheim,Hines,RB,IND,196,15
Dameon,Pierce,RB,HOU,223,16
Zack,Moss,RB,BUF,226,16
Kenyan,Drake,RB,LV,231,16
Kenneth,Gainwell,RB,PHI,233,16
Kyle,Juszczyk,RB,SF,243,16
James,White,RB,NE,248,16
Rex,Burkhead,RB,HOU,253,16
Khalil,Herbert,RB,CHI,257,16
Isaiah,Spiller,RB,LAC,259,16
Brandon,Bolden,RB,LV,267,16
D'Onta,Foreman,RB,CAR,271,16
Boston,Scott,RB,PHI,275,16
Tyler,Allgeier,RB,ATL,276,16
Isiah,Pacheco,RB,KC,278,16
Rachaad,White,RB,TB,283,16
Ameer,Abdullah,RB,LV,285,16
Trey,Sermon,RB,SF,289,16
Derrick,Gore,RB,KC,290,16
DeeJay,Dallas,RB,SEA,293,16
J.J.,Taylor,RB,NE,294,16
Samaje,Perine,RB,CIN,303,16
Brian,Robinson,RB,WAS,304,16
Gus,Edwards,RB,BAL,305,16
